ident,type,name,iso_country,iata_code,icao_code
03N,small_airport,Utirik Airport,MH,UTK,
07FA,medium_airport,Ocean Reef Club Airport,US,OCA,
0CO2,small_airport,Crested Butte Airpark,US,CSE,
0NM0,small_airport,Columbus Airport,US,CUS,
0TE7,small_airport,LBJ Ranch Airport,US,JCY,
13Z,seaplane_base,Loring Seaplane Base,US,WLR,
16A,small_airport,Nunapitchuk Airport,US,NUP,
16K,seaplane_base,Port Alice Seaplane Base,US,PTC,
19AK,small_airport,Icy Bay Airport,US,ICY,
19P,seaplane_base,Port Protection Seaplane Base,US,PPV,
1KC,small_airport,Kalakaket Creek AS Airport,US,KKK,
1O6,small_airport,Dunsmuir Muni-Mott Airport,US,MHS,
1XA2,small_airport,Chase Field Industrial Airport,US,NIR,
1Z1,small_airport,Grand Canyon Bar Ten Airstrip,US,GCT,
1Z9,seaplane_base,Ellamar Seaplane Base,US,ELW,
2AK,small_airport,Lime Village Airport,US,LVD,
2AK6,small_airport,Hog River Airport,US,HGZ,
2IG4,small_airport,Ed-Air Airport,US,OTN,
2K5,small_airport,Telida Airport,US,TLF,
2TE0,small_airport,Eagle Air Park,US,BZT,
2Z1,seaplane_base,Entrance Island Seaplane Base,US,HBH,
2Z6,seaplane_base,False Island Seaplane Base,US,FAK,
38WA,small_airport,Blakely Island Airport,US,BYW,
3AK5,small_airport,Drift River Airport,US,DRF,
3IS8,small_airport,Rinkenberger Restricted Landing Area,US,BDF,
3T4,small_airport,Tetlin Airport,US,TEH,
3VS,small_airport,Roy Otten Memorial Airfield,US,VRS,
3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,US,GDH,
4A2,small_airport,Atmautluak Airport,US,ATT,
4AK,small_airport,Livengood Camp Airport,US,LIV,
4K0,small_airport,Pedro Bay Airport,US,PDB,
4K5,small_airport,Ouzinkie Airport,US,KOZ,
4KA,small_airport,Tununak Airport,US,TNK,
4Z7,seaplane_base,Hyder Seaplane Base,US,WHD,
51Z,small_airport,Minto Al Wright Airport,US,MNT,
57A,seaplane_base,Tokeen Seaplane Base,US,TKI,
5A8,medium_airport,Aleknagik / New Airport,US,WKK,
5KE,seaplane_base,Ketchikan Harbor Seaplane Base,US,WFB,
5MS1,small_airport,Rollang Field,US,RFK,
5NK,small_airport,Naknek Airport,US,NNK,
5Z9,seaplane_base,Lake Brooks Seaplane Base,US,BKF,
65LA,small_airport,Southern Seaplane Airport,US,BCS,
6B6,small_airport,Minute Man Air Field,US,MMN,
6CA3,heliport,Catalina Air-Sea Terminal Heliport,US,SPQ,
6N5,heliport,East 34th Street Heliport,US,TSS,
6N7,seaplane_base,New York Skyports Inc Seaplane Base,US,NYS,
6OK6,small_airport,Earl Henry Airport,US,BWL,
78K,seaplane_base,Yes Bay Lodge Seaplane Base,US,WYB,
78WA,small_airport,Center Island Airport,US,CWS,
7KA,small_airport,Tatitlek Airport,US,TEK,
7NC2,small_airport,Pine Island Airport,US,DUF,
7WA5,small_airport,Stuart Island Airpark,US,SSW,
82CL,small_airport,Fort Bragg Airport,US,FOB,
83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,US,PUL,
84CL,heliport,Century City Heliport,US,CCD,
84K,seaplane_base,Meyers Chuck Seaplane Base,US,WMK,
89NY,small_airport,Maxson Airfield,US,AXB,
8XS8,small_airport,Reese Airpark,US,REE,
90WA,small_airport,Waldron Airstrip,US,WDN,
96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,US,WWP,
9A3,small_airport,Chuathbaluk Airport,US,CHU,
9A8,small_airport,Ugashik Airport,US,UGS,
9CA3,heliport,Recreation and Conference Center Heliport,US,JID,
9N2,seaplane_base,Philadelphia Seaplane Base,US,PSQ,
9Z8,small_airport,Levelock Airport,US,KLL,
A23,seaplane_base,Saginaw Seaplane Base,US,SGW,
A61,small_airport,Tuntutuliak Airport,US,WTL,
A63,small_airport,Twin Hills Airport,US,TWA,
A79,small_airport,Chignik Lake Airport,US,KCQ,
AAD,small_airport,Adado Airport,SO,AAD,HCAD
ABP,small_airport,Atkamba Airport,PG,ABP,
ACM,small_airport,Arica Airport,CO,ACM,
ADV,small_airport,El Daein Airport,SD,ADV,
AE-0001,small_airport,Batha Airport,SA,,OEBT
AE-0026,small_airport,Al Qaffay Airport,AE,,OMQF
AE-0091,small_airport,Lower Yasat Island Airport,AE,,OMAY
AE-0128,small_airport,Liwa Air Base,AE,,OMLW
AE-0221,medium_airport,Sas Al Nakheel Air Base,AE,,OMNK
AE-0237,seaplane_base,Dubai Seaplane Terminal,AE,DST,
AEE,small_airport,Adareil Airport,SS,AEE,
AEQ,small_airport,Ar Horqin Airport,CN,AEQ,
AF-0019,heliport,Toorghodi Heliport,AF,,OATD
AF-0020,small_airport,Andkhoy Airport,AF,,OAAK
AF-0021,small_airport,Logar Airport,AF,,OALG
AF-0023,small_airport,Muqur Airport,AF,,OAMK
AF-0024,small_airport,Panjab Airport,AF,,OAPJ
AF-0025,small_airport,Taywarah Airport,AF,,OATW
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,LK,AFK,
AG-0001,medium_airport,Burton-Nibbs International Airport,AG,BBQ,TAPB
AGAF,small_airport,Afutara Aerodrome,SB,AFT,AGAF
AGAR,small_airport,Ulawa Airport,SB,RNA,AGAR
AGAT,small_airport,Uru Harbour Airport,SB,ATD,AGAT
AGBA,small_airport,Barakoma Airport,SB,VEV,AGBA
AGBT,small_airport,Batuna Aerodrome,SB,BPF,AGBT
AGEV,small_airport,Geva Airport,SB,GEF,AGEV
AGG,small_airport,Angoram Airport,PG,AGG,
AGGA,small_airport,Gwaunaru'u Airport,SB,AKS,AGGA
AGGB,small_airport,Bellona/Anua Airport,SB,BNY,AGGB
AGGC,small_airport,Choiseul Bay Airport,SB,CHY,AGGC
AGGE,small_airport,Ballalae Airport,SB,BAS,AGGE
AGGF,small_airport,Fera/Maringe Airport,SB,FRE,AGGF
AGGH,large_airport,Honiara International Airport,SB,HIR,AGGH
AGGI,small_airport,Babanakira Airport,SB,MBU,AGGI
AGGJ,small_airport,Avu Avu Airport,SB,AVU,AGGJ
AGGK,small_airport,Ngorangora Airport,SB,IRA,AGGK
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,SB,SCZ,AGGL
AGGM,medium_airport,Munda Airport,SB,MUA,AGGM
AGGN,small_airport,Nusatupe Airport,SB,GZO,AGGN
AGGO,small_airport,Mono Airport,SB,MNY,AGGO
AGGP,small_airport,Parasi Airport,SB,PRS,AGGP
AGGR,small_airport,Rennell/Tingoa Airport,SB,RNL,AGGR
AGGS,small_airport,Sege Airport,SB,EGM,AGGS
AGGT,small_airport,Santa Ana Airport,SB,NNB,AGGT
AGGU,small_airport,Marau Airport,SB,RUS,AGGU
AGGV,small_airport,Suavanao Airport,SB,VAO,AGGV
AGGY,small_airport,Yandina Airport,SB,XYA,AGGY
AGIN,heliport,Isuna Heliport,SB,,AGIN
AGK,small_airport,Kagua Airport,PG,AGK,
AGKG,small_airport,Kaghau Airport,SB,KGE,AGKG
AGKU,small_airport,Kukudu Airport,SB,KUE,AGKU
AGKW,small_airport,Kwailabesi Airport,SB,KWS,AGKW
AGLM,small_airport,Lomlom Airport,SB,LLM,AGLM
AGNA,small_airport,Nana Airport,SB,NAZ,AGNA
AGOB,small_airport,Manaoba Airport,SB,MHM,AGOB
AGOK,small_airport,Gatokae Aerodrome,SB,GTA,AGOK
AGRC,small_airport,Ringi Cove Airport,SB,RIN,AGRC
AGRM,small_airport,Ramata Airport,SB,RBV,AGRM
AGTI,heliport,Tulaghi Heliport,SB,TLG,AGTI
AHY,small_airport,Ambatolhy Airport,MG,AHY,
AIP,small_airport,Ailinglaplap Airok Airport,MH,AIC,
AK13,small_airport,Chena Hot Springs Airport,US,CEX,
AK26,small_airport,Solomon State Field,US,SOL,
AK33,small_airport,Herendeen Bay Airport,US,HED,
AK49,small_airport,Taylor Airport,US,TWE,
AK56,seaplane_base,Tikchik Lodge Seaplane Base,US,KTH,
AK62,seaplane_base,Naukati Bay Seaplane Base,US,NKI,
AK75,small_airport,Candle 2 Airport,US,CDL,
AK81,seaplane_base,Amook Bay Seaplane Base,US,AOS,
AK97,small_airport,Boswell Bay Airport,US,BSW,
AKM,small_airport,Zakuoma Airport,TD,AKM,
AL-0019,large_airport,(Duplicate)Vlora International Airport,AL,VLO,LAVL
ALZ,seaplane_base,Alitak Seaplane Base,US,ALZ,
AM-0001,small_airport,Syunik Airport,AM,YUK,UDCK
AME,small_airport,Alto Molocue Airport,MZ,AME,
AMY,small_airport,Ambatomainty Airport,MG,AMY,FMMB
ANYN,medium_airport,Nauru International Airport,NR,INU,ANYN
ANZ,small_airport,Angus Downs Airport,AU,ANZ,
AO-0001,small_airport,Catoca Airport,AO,CTV,
AO-0005,small_airport,Andulo Airport,AO,ANL,
AO-0067,small_airport,Lumbala Airstrip,AO,,FNLM
AO-0074,small_airport,Huambo Airport,AO,,FNNL
AO-CNZ,small_airport,Cangamba Airport,AO,CNZ,
AO-DRC,small_airport,Dirico Airport,AO,DRC,
AO-NDF,small_airport,N'dalatando Airport,AO,NDF,
AOB,small_airport,Annanberg Airport,PG,AOB,
AOD,small_airport,Abou-Deïa Airport,TD,AOD,
APP,small_airport,Asapa Airport,PG,APP,
AQY,small_airport,Girdwood-Alyeska Airport,US,AQY,
AR-0005,small_airport,Bragado Airport,AR,QRF,
AR-0007,small_airport,Caleta Olivia Airport,AR,CVI,
AR-0009,small_airport,Charata Airport,AR,CNT,
AR-0010,small_airport,General Villegas Airport,AR,VGS,
AR-0011,small_airport,Los Menucos Airport,AR,LMD,
AR-0017,small_airport,Valcheta Airport,AR,VCF,
AR-0390,small_airport,Carmen de Patagones Airport,AR,CPG,
AR-0744,medium_airport,Chamical Airport,AR,,SACT
ARP,small_airport,Aragip Airport,PG,ARP,
ASZ,small_airport,Asirim Airport,PG,ASZ,
AT-0001,heliport,Pöchlarn-Wörth Heliport,AT,,LOAL
AT-0050,heliport,Eisenstadt Heliport,AT,,LOAE
AT-0051,heliport,Baden Hospital Helipad,AT,,LOAF
AT-0052,heliport,Horn Heliport,AT,,LOAH
AT-0053,heliport,Krems University Hospital Helipad,AT,,LOAK
AT-0087,heliport,Wien-Meidling Heliport,AT,,LOAM
AT98,medium_airport,(Duplicate)Wolf's Fang Runway,AQ,WFR,
AU-0081,small_airport,Lady Elliot Island Airstrip,AU,LYT,YLTT
AU-0177,heliport,Macquarie Island Station Heliport,AU,,YMQI
AU-0264,small_airport,Skardon River Airport,AU,,YSKR
AU-0456,small_airport,Gruyere Airport,AU,GYZ,
AU-0490,small_airport,Packsaddle Airport,AU,,YPAS
AU-0565,small_airport,Moora Airport,AU,,YMRO
AU-0627,small_airport,Cranbourn Airfield,AU,,YCRN
AU-0748,small_airport,Oakden Hills Airport,AU,,YOKH
AU-0771,small_airport,Wirraminna Airport,AU,,YWIR
AU-0783,small_airport,JDandBoo,AU,,YJBO
AU-0785,small_airport,Woodstock Station,AU,,YWSN
AU-0796,medium_airport,Nackeroo Airfield,AU,,YNKR
AU-AGW,small_airport,Agnew Airport,AU,AGW,
AU-AYD,small_airport,Alroy Downs Airport,AU,AYD,
AU-BYX,small_airport,Baniyala Airport,AU,BYX,
AU-COB,small_airport,Coolibah Airport,AU,COB,
AU-CRJ,small_airport,Coorabie Airport,AU,CRJ,
AU-CRY,small_airport,Carlton Hill Airport,AU,CRY,
AU-CSD,small_airport,Cresswell Downs Airport,AU,CSD,
AU-DYM,small_airport,Diamantina Lakes Airport,AU,DYM,
AU-HIS,seaplane_base,Hayman Island Resort Seaplane Base,AU,HIS,
AU-HLV,small_airport,Helenvale Airport,AU,HLV,
AU-KBD,small_airport,Kimberley Downs Airport,AU,KBD,
AU-KGR,small_airport,Kulgera Airport,AU,KGR,
AU-PEP,small_airport,Peppimenarti Airport,AU,PEP,
AU-RDA,small_airport,Rockhampton Downs Airport,AU,RDA,
AU-SSK,small_airport,Sturt Creek Airport,AU,SSK,
AU-SWB,small_airport,Shaw River Airport,AU,SWB,
AU-TWP,small_airport,Torwood Airport,AU,TWP,
AU-ZVG,small_airport,Springvale Airport,AU,ZVG,
AWR,small_airport,Awar Airport (unusable),PG,AWR,
AXF,medium_airport,Alxa Left Banner Bayanhot Airport,CN,AXF,ZBAL
AXO,small_airport,Pantar Kabir Airport,ID,AXO,
AYAA,small_airport,Ama Airport,PG,AMF,AYAA
AYAE,small_airport,Mount Aue Airport,PG,UAE,AYAE
AYAF,small_airport,Afore Airstrip,PG,AFR,AYAF
AYAG,small_airport,Agaun Airport,PG,AUP,AYAG
AYAI,small_airport,Aitape Airport,PG,ATP,AYAI
AYAK,small_airport,Aiambak Airport,PG,AIH,AYAK
AYAM,small_airport,Amanab Airport,PG,AMU,AYAM
AYAN,small_airport,Andakombe Airport,PG,ADC,AYAN
