ident,name,type,country_code
ALN,Al Ain,VOR-DME,AE
AUH,Abu Dhabi,VOR-DME,AE
BH,Buhasa,NDB,AE
DUB,Dubai,VOR-DME,AE
FJR,Fujairah,VOR-DME,AE
ID,Das Island,NDB,AE
JD,Jebel Dhana,NDB,AE
MA,Al Dhafra,VORTAC,AE
RAV,Ras Al Khaimah,VOR-DME,AE
RNZ,Arzanah,NDB,AE
SHJ,Sharjah,VOR-DME,AE
VAD,Bateen,VOR-DME,AE
ZKU,Zirku,NDB,AE
BGM,Bagram,TACAN,AF
KAF,Kandahar,TACAN,AF
KBL,Kabul,VOR-DME,AF
KIA,Kabul,TACAN,AF
OKB,Kabul,TACAN,AF
OKN,Kandahar,NDB,AF
ANU,V C Bird,VOR-DME,AG
ZDX,V C Bird,NDB,AG
ANG,Wallblake,NDB,AI
TR,Tirana,NDB,AL
TR,Tr,DME,AL
TRN,Tirana,VOR-DME,AL
AND,Andranik,NDB,AM
ER,Yerevan,NDB,AM
GRM,Gyumri,VOR-DME,AM
MGR,Megri,NDB,AM
S,Stepanavan,NDB,AM
ST,Stepanavan,NDB,AM
SVN,Sevan,NDB,AM
TLN,Talin,NDB,AM
Z,Yerevan,NDB,AM
ZVR,Yerevan,VOR-DME,AM
AM,Ambriz,NDB,AO
BC,Mbanza Congo,NDB,AO
BG,Benguela,NDB,AO
CF,Cafunfo,NDB,AO
CH,Chitato,NDB,AO
CV,Cuito Cuanavale,NDB,AO
KK,Menongue,NDB,AO
KU,Kuito,NDB,AO
LB,Lobito,NDB,AO
LK,Lucapa,NDB,AO
LU,Luanda,NDB,AO
MA,Malanje,NDB,AO
ME,Menongue,NDB,AO
NG,Negage,NDB,AO
PA,Porto Amboim,NDB,AO
PE,Ngiva,NDB,AO
SA,Saurimo,NDB,AO
SO,Soyo,NDB,AO
SU,Sumbe,NDB,AO
UG,Uige,NDB,AO
VCA,Cabinda,VOR-DME,AO
VHU,Huambo,VOR-DME,AO
VMO,Namibe,VOR-DME,AO
VNA,Luanda,VOR-DME,AO
VUB,Lubango,VOR-DME,AO
VUE,Luena,VOR,AO
WK,Waco Kungo,NDB,AO
DNO,Orcadas Del Sur,NDB,AQ
FXJ,Juan De Nova,NDB,AQ
FXT,Tromelin,NDB,AQ
FXZ,Grande Glorieuse,NDB,AQ
IRJ,Isla Rey Jorge,VOR-DME,AQ
MBI,Marambio,VOR-DME,AQ
ZIR,Ice Runway,TACAN,AQ
ZPG,Pegasus,TACAN,AQ
ZSP,South Pole Station,TACAN,AQ
ZWD,Williams Fld,TACAN,AQ
A,Ministro Pistarini,NDB,AR
A,Reconquista,NDB,AR
A,Tartagal,NDB,AR
ADO,Puerto Deseado,NDB,AR
ARS,Alto Rio Senguerr,NDB,AR
B,San Carlos De Bariloche,NDB,AR
B,Escuela De Aviacion Militar,NDB,AR
BAR,San Carlos De Bariloche,VOR-DME,AR
BCA,Bahia Blanca,VOR-DME,AR
BIO,El Turbio,NDB,AR
C,Comandante Espora,NDB,AR
C,Comodoro Rivadavia,NDB,AR
C,Ministro Pistarini,NDB,AR
C,Corrientes,NDB,AR
CAT,Catamarca,VOR-DME,AR
CBA,Cordoba,VOR-DME,AR
