ident,name,country_code,airport
KNO,ABEAM KUNOTH,AU,
ABKL,ABM KILTO,AU,
TVT,ABM TV TOWERS,AU,
ACE,ACADEMY,AU,
ANI,ACHERON ISLAND,AU,
ACLD,ACLAND,AU,
ACTY,ADELAIDE CBD,AU,
ADB,ADELAIDE RIVER BRIDGE,AU,
ADRM,ADELAIDE RIVER MOUTH,AU,
AOG,ADELONG,AU,
ADI,ADMIRALTY ISLAND,AU,
ADWD,ADVENTURE WORLD,AU,
ALON,ALAWOONA,AU,
APL,ALBERT PARK LAKE,AU,
AKMW,ALKIMOS WATER,AU,
ALBA,ALOOMBA,AU,
ALOA,ALTONA,AU,
ALTS,ALTONA SOUTH,AU,
ANG,ANGLESEA,AU,
APM,ANM PAPER MILL,AU,
ANA,ANNA BAY,AU,
ANPL,ANNA PLAINS,AU,
ANP,ANTILL PLAINS,AU,
ARCD,ARCADIA HS,AU,
AEN,ARDENT,AU,
SHOP,ARMADALE SHOPS,AU,
AWP,ARROWSMITH PT,AU,
ASU,ARUNDEL SUBSTATION,AU,
ATN,ATHERTON,AU,
ATG,ATTUNGA,AU,
ALEC,AUSTRALIAN LIVESTOCK EQUINE CENT,AU,
AVNL,AVENEL,AU,
BADA,BABINDA,AU,
BMP,BACCHUS MARSH TOWNSHIP,AU,
BKRL,BAKER LAKE,AU,
BLHS,BALD HILLS MAST,AU,
BOA,BALMORAL,AU,
BANG,BANGALOW,AU,
BDT,BARANDUDA TOWERS,AU,
BARB,BARBAGALLO RACEWAY,AU,
BHCP,BARN HILL CARAVAN PARK,AU,
BSL,BARNES HILL,AU,
BRNJ,BARRENJOEY HEAD,AU,
BRR,BARRINGUN,AU,
BRGE,BARRON GORGE,AU,
BPN,BARWON PRISON,AU,
KALK,BASS STRAIT,AU,
BATB,BATEMANS BAY,AU,
BTI,BATHURST ISLAND,AU,
BNE,BATMAN BRIDGE,AU,
BAW,BAYWEST,AU,
BCM,BEACHMERE,AU,
BIV,BECTIVE HS,AU,
BENT,BEECHMONT,AU,
BCH,BEECHWORTH,AU,
BLR,BELLBROOK,AU,
BLIG,BELLINGEN,AU,
BENV,BEN NEVIS,AU,
BND,BENDEMEER,AU,
BEE,BERILEE,AU,
BESI,BESSIE POINT,AU,
BVG,BEVERIDGE,AU,
BDTN,BIDDESTON,AU,
BIDG,BIDGEE 1,AU,
BDGE,BIDGEE 2,AU,
BIBA,BINGIL BAY,AU,
BDWD,BIRDWOOD,AU,
BCT,BLACK MT,AU,
BKM,BLACK MT,AU,
BKIS,BLACKSMITH ISLAND,AU,
BLIC,BLI BLI CASTLE,AU,
BTM,BOAT HARBOUR,AU,
BOAT,BOATYARD,AU,
BODD,BODDINGTON,AU,
BGN,BOGANTUNGAN,AU,
BLTB,BOLTE BRIDGE,AU,
BSP,BOND SPRINGS,AU,
BUVY,BOND UNIVERSITY,AU,
BNG,BONEGILLA,AU,
BONG,BONGAREE,AU,
BOON,BOONDALL ENTERTAINMENT CENTRE,AU,
BOAR,BORUMBA RESV,AU,
BBH,BOTANY BAY HEADS,AU,
BOWB,BOWEN BRIDGE,AU,
BWV,BOWENVILLE,AU,
BWMS,BOWMANS,AU,
BWL,BOWRAL,AU,
BOV,BOWRAVILLE,AU,
BPI,BRAMPTON ISLAND,AU,
BAXT,BRANXTON,AU,
BZA,BREEZA,AU,
BBBG,BRIBIE BRIDGE,AU,
BBI,BRIBIE ISLAND,AU,
BTO,BRIGHTON,AU,
BTJ,BRIGHTON JETTY,AU,
BRY,BRINGELLY,AU,
BRIN,BRINSMEAD,AU,
BCTY,BRISBANE CBD,AU,
BNCG,BRISBANE CRICKET GROUND,AU,
BDF,BROADFORD,AU,
BYN,BROOKLYN,AU,
BBG,BROOKLYN BRIDGE,AU,
BTON,BROOKTON,AU,
BRI,BROUGHTON ISLAND,AU,
BRH,BRUNSWICK HEADS,AU,
BUCP,BUCHAN PT,AU,
BUCN,BUCHANAN HILLS,AU,
BKD,BUCKLAND,AU,
BPK,BUCKLAND PARK WEATHER RADAR,AU,
BDH,BUNDAGEN HEAD,AU,
BEN,BUNGENDORE,AU,
BUG,BUNGIL BRIDGE,AU,
URG,BURBONG,AU,
BLGH,BURLEIGH HEADS,AU,
BUB,BURNS BEACH,AU,
BUGA,BURRAGA,AU,
BJK,BURRINJUCK,AU,
BMK,BURRUMBUTTOCK,AU,
BYFD,BYFORD,AU,
BYNO,BYNOE HARBOUR,AU,
BYRK,BYROCK,AU,
BBAY,BYRON BAY,AU,
CBLT,CABLEWAY TERMINAL,AU,
CABO,CABOOLTURE,AU,
CRDZ,CALOUNDRA DROPZONE,AU,
CALT,CALTEX REFINERY,AU,
CLVT,CALVERT,AU,
CBRA,CAMBRAI,AU,
CPA,CAMPANIA,AU,
CLLN,CAMPBELLTOWN,AU,
CAMB,CAMPBELLTOWN UNIVERSITY,AU,
RCSE,CANBERRA RACECOURSE,AU,
CNB,CANNING BRIDGE,AU,
CDM,CANNING DAM,AU,
CAV,CANNONVALE,AU,
CBY,CANTERBURY RACECOURSE,AU,
CAPS,CAPE BANKS,AU,
CCL,CAPE CLEVELAND,AU,
CPY,CAPE CONWAY,AU,
CGR,CAPE GAMBIER,AU,
CGF,CAPE GRAFTON,AU,
CPH,CAPE HILLSBOROUGH,AU,
CAJE,CAPE JERVIS,AU,
CAKE,CAPE KEITH,AU,
CMB,CAPE LAMBERT,AU,
CPMN,CAPE MORETON,AU,
CPLD,CAPE PORTLAND,AU,
CPHE,CAPE RICHE,AU,
CAPT,CAPTAINS FLAT,AU,
CAU,CARAMUT,AU,
CARE,CARDINIA RESV,AU,
CDNA,CARDONA,AU,
CARIN,CARINDALE SHOPPING CENTRE,AU,
CIK,CARRICK,AU,
CARR,CARRUM,AU,
CLJ,CASTLE JUNCTION,AU,
CTT,CASTLE PT,AU,
CRPT,CASTLEREAGH POINT,AU,
CCP,CECIL PLAINS,AU,
CAO,CEDUNA OBSERVATORY,AU,
CBRG,CENTENARY BRIDGE,AU,
CERB,CERBERUS,AU,
CYM,CHAFFEY DAM,AU,
CHI,CHANNEL ISLAND,AU,
CHAP,CHARLES PT,AU,
CHAT,CHATSWOOD CBD,AU,
CHN,CHILTERN,AU,
CIB,CHIPBOARD FACTORY,AU,
CHOC,CHOCOLATE FACTORY,AU,
CNTH,CHOPPERS NORTH,AU,
CSTH,CHOPPERS SOUTH,AU,
CWST,CHOPPERS WEST,AU,
CIH,CID HARBOUR,AU,
CYB,CITY BEACH,AU,
