ident,country_code
AKOGE,AF
ALAMI,AF
ALEXY,AF
ALKIB,AF
ALMOL,AF
AMDAR,AF
ANVES,AF
ASLUM,AF
ASMOP,AF
BAGNI,AF
BENUL,AF
BGM06,AF
BGM13,AF
BGM17,AF
BGM20,AF
BGM23,AF
BGM99,AF
BOTAN,AF
BOXUD,AF
CAMUX,AF
CANUP,AF
CEGAT,AF
CEKAS,AF
CHARN,AF
CIDVU,AF
CIMAB,AF
CODIX,AF
COKIB,AF
CORBN,AF
COSMO,AF
DANOD,AF
DAPUB,AF
DARUS,AF
DASUN,AF
DAVER,AF
DAXUP,AF
DEPKI,AF
DESRT,AF
DILAM,AF
DIRT,AF
DOLAN,AF
DOLME,AF
DOMDE,AF
DOSHI,AF
DOVKE,AF
DUPUG,AF
EGPAN,AF
ELEKO,AF
EMAVO,AF
EMEKU,AF
EMERO,AF
EMUMA,AF
FALOD,AF
FARAH,AF
FYDER,AF
GENIV,AF
GENOP,AF
GERAN,AF
GEROR,AF
GINRI,AF
GIVNU,AF
GODSI,AF
HAKER,AF
HHOOT,AF
HIWY2,AF
IMENO,AF
IMGES,AF
IMSIK,AF
IVAGA,AF
JATON,AF
JIMPO,AF
JIROT,AF
KALKN,AF
KARRY,AF
KAVOG,AF
KBL11,AF
KBL18,AF
KBL71,AF
KEDAR,AF
KEEMO,AF
KHOLM,AF
KIRAT,AF
KODAD,AF
KOPKE,AF
KOTAL,AF
KOVME,AF
KUMDU,AF
KUNAN,AF
LABUS,AF
LAJAK,AF
LANNI,AF
LEELO,AF
LEIPS,AF
LENTE,AF
LONEX,AF
LORAD,AF
LOVIT,AF
LUBEK,AF
LUDES,AF
LUTRE,AF
MASMO,AF
MAXIN,AF
MENPA,AF
MESRA,AF
MIBEE,AF
MIGAH,AF
MIRAB,AF
MIXEL,AF
MULRE,AF
MURAD,AF
MYLOE,AF
NABID,AF
NABKA,AF
NAKOE,AF
NEVIV,AF
NOMVU,AF
OBNIG,AF
OKB07,AF
OKB11,AF
OKRUE,AF
OLOSE,AF
OYLER,AF
PADDY,AF
PALMS,AF
PARIC,AF
PAROD,AF
PASEN,AF
PATOX,AF
PEGAL,AF
PRKWY,AF
QUINA,AF
R1264,AF
R1266,AF
R2711,AF
R2921,AF
R2925,AF
RAGOR,AF
RALOY,AF
RAMSO,AF
RANAH,AF
RESOT,AF
RIGEN,AF
RIKAD,AF
ROBEN,AF
SERGO,AF
SIGSI,AF
SIXER,AF
SODAS,AF
STICH,AF
STTAN,AF
TABDA,AF
TABDE,AF
TOLER,AF
TOTSI,AF
UCANO,AF
UKMUS,AF
ULOSA,AF
VACUK,AF
VELDT,AF
VISUG,AF
VOBUC,AF
VOCUN,AF
VUSAR,AF
VUSIP,AF
VUVEN,AF
VUXAX,AF
WABAD,AF
WEBRO,AF
WIRID,AF
WOVIS,AF
XARDO,AF
ADDER,AL
AKIKA,AL
DIMIS,AL
DIRES,AL
DITAN,AL
DOBAR,AL
ELBAK,AL
GOKEL,AL
GRIBA,AL
INLOT,AL
MAGGI,AL
MAVAR,AL
NIKRO,AL
ODRAS,AL
OVVER,AL
PAPIZ,AL
PETAK,AL
TRN01,AL
TRN03,AL
TRN05,AL
TRN08,AL
TRN11,AL
TRN26,AL
TRN33,AL
TRN41,AL
TRN48,AL
TRN50,AL
TRN53,AL
TRN65,AL
TRN69,AL
TRN73,AL
TRN80,AL
TRN87,AL
TUMBO,AL
UNDER,AL
ABLOD,DZ
AGREB,DZ
AMIRA,DZ
ANIEB,DZ
ARIAM,DZ
ARZEW,DZ
ATAFA,DZ
ATCHA,DZ
BABOR,DZ
BAHRI,DZ
BEREK,DZ
BERIA,DZ
BERTI,DZ
BESBA,DZ
BISSA,DZ
BORMA,DZ
BOURI,DZ
BRENA,DZ
BREZI,DZ
BUYAH,DZ
CHLAL,DZ
CIRTA,DZ
CITER,DZ
DAFRI,DZ
DAHRA,DZ
DAYAT,DZ
DOLIS,DZ
ERKEL,DZ
ESNAM,DZ
FAROS,DZ
GAFLA,DZ
GOBET,DZ
GOLIB,DZ
HINAN,DZ
HOGAR,DZ
JOKKA,DZ
KAHIL,DZ
KAWKA,DZ
KEBRI,DZ
KIRLA,DZ
KRIMA,DZ
KSOUR,DZ
LIGUM,DZ
LIMON,DZ
LOUHA,DZ
MAHDI,DZ
MELOG,DZ
MEZAB,DZ
MOKAT,DZ
MOUNA,DZ
NADJI,DZ
NAGAH,DZ
NIFEL,DZ
OTARO,DZ
OUCIF,DZ
OUREL,DZ
PAGRE,DZ
PECES,DZ
RADJA,DZ
RAHIL,DZ
RAMAD,DZ
REMLI,DZ
REQIN,DZ
RIAME,DZ
RIKIF,DZ
RIMEL,DZ
ROANE,DZ
ROFER,DZ
RTILA,DZ
SAKET,DZ
SAKNA,DZ
SBITA,DZ
SEFRA,DZ
SIHAR,DZ
TABAL,DZ
TAGRO,DZ
TAJEN,DZ
TARAT,DZ
TERAS,DZ
TIDOU,DZ
TIFOU,DZ
TIHET,DZ
TILMA,DZ
TOLGA,DZ
ZENAD,DZ
ZIBAN,DZ
ALOHI,AS
ANITR,AS
APRAN,AS
BIGEK,AS
BLUJA,AS
BUDRA,AS
CELIM,AS
CLAIB,AS
DARMA,AS
DODUX,AS
DOROS,AS
DRAWN,AS
EMTAR,AS
GRUPY,AS
GUGET,AS
GUMRA,AS
GUTEL,AS
HUPLI,AS
JONAS,AS
LAKER,AS
LANAT,AS
MIGIS,AS
OGELA,AS
OLIVE,AS
ONETU,AS
PITTI,AS
PONAT,AS
PUPIS,AS
R1652,AS
SAPIX,AS
SETTS,AS
TUT07,AS
TUT10,AS
TUT15,AS
TUT18,AS
TUT26,AS
TUT45,AS
TUTHA,AS
TUYOS,AS
WANUL,AS
ANUBI,AO
ANVUP,AO
APKOK,AO
APNUK,AO
APRAS,AO
ARGOL,AO
AVIGI,AO
AVOVA,AO
AVUTA,AO
AXUGO,AO
BODEX,AO
BOSNI,AO
BUDEL,AO
BUTOG,AO
DEPAN,AO
DETKU,AO
DISPO,AO
EDLIN,AO
EGNOS,AO
EGOLI,AO
EGSUD,AO
ENBED,AO
EPLAT,AO
EPLAV,AO
ESTOX,AO
ETBON,AO
EVOTO,AO
EXALA,AO
EXIGO,AO
EXITO,AO
GEBDO,AO
IBKOK,AO
ILDIN,AO
ILGOL,AO
IMLEX,AO
IMRAS,AO
ITKAM,AO
ITPIK,AO
KILBI,AO
KIMBU,AO
KODOR,AO
LIKAD,AO
LIRAM,AO
LUBRA,AO
MEMAS,AO
NATAR,AO
NETOK,AO
NEVIT,AO
OGNIK,AO
OKDAT,AO
OKTAG,AO
ONTAR,AO
OPAPO,AO
RIVOM,AO
SIPLA,AO
TUTIM,AO
UDANO,AO
UDMON,AO
UNDOP,AO
UNDUS,AO
UTIVO,AO
UVAGO,AO
UVAMO,AO
VOTAL,AO
AGITE,AQ
AGODE,AQ
ASHLY,AQ
BALRE,AQ
BYRD,AQ
CANVO,AQ
CAPAG,AQ
CATOR,AQ
CEBEG,AQ
CIDRA,AQ
DALOS,AQ
DOBRO,AQ
DOSTE,AQ
EASTT,AQ
EISOL,AQ
ELNAK,AQ
ERARE,AQ
EVATT,AQ
FERUK,AQ
FETKA,AQ
GRUPP,AQ
GULAN,AQ
HEALD,AQ
HEDAR,AQ
HENUD,AQ
HEXOP,AQ
HOSEV,AQ
HYNES,AQ
IRARE,AQ
JAXAD,AQ
JEPAT,AQ
JOMIG,AQ
KAGEN,AQ
KALVA,AQ
LAVIS,AQ
LLIMA,AQ
MAJAG,AQ
MARLY,AQ
MOBOE,AQ
MRRTY,AQ
NARSE,AQ
NEPME,AQ
NVMBR,AQ
OKKEG,AQ
PABLE,AQ
PRAMM,AQ
RAVYN,AQ
REGAT,AQ
REPME,AQ
RULOE,AQ
STIRE,AQ
TENTT,AQ
TOPSE,AQ
UDEPI,AQ
WESTT,AQ
WIKTA,AQ
WOLTU,AQ
WUDBO,AQ
ZADMO,AQ
ZEDUR,AQ
ZELBA,AQ
ZINIM,AQ
ZOLRI,AQ
